CourseName,Profes nuevos desde 2017-1,Grupos desde 2017-1,Ratio
Análisis Matemático IV,0,11,0
Análisis Multivariado,0,19,0
Análisis de Regresión,0,7,0
Biología Matemática I,0,9,0
Cálculo de las Variaciones,0,12,0
Diseño de Sistemas Digitales,0,1,0
Ecuaciones Diferenciales III,0,8,0
Ecuaciones Diferenciales Parciales I,0,25,0
Ecuaciones Diferenciales Parciales II,0,9,0
Geometría Algebraica I,0,13,0
Geometría Algebraica II,0,1,0
Geometría Proyectiva,0,24,0
Geometría Riemanniana II,0,3,0
Historia de las Matemáticas II,0,13,0
Introducción Matemática a la Mecánica Celeste,0,4,0
Introducción a la Geometría Avanzada,0,12,0
Introducción a las Funciones Recursivas y Computabilidad,0,2,0
Lógica Matemática II,0,31,0
Lógica Matemática III,0,9,0
Lógicas no Clásicas,0,1,0
Muestreo,0,20,0
Proceso Digital de Imagenes,0,9,0
Procesos Estocásticos II,0,14,0
Programación Lineal,0,19,0
Programación no Lineal,0,11,0
Robótica,0,9,0
Seminario Filosofía de las Matemáticas,0,21,0
Seminario Matemáticas Aplicadas II,0,15,0
Seminario Sobre Enseñanza Matemáticas III,0,18,0
Seminario de Análisis Matemático A,0,17,0
Seminario de Filosofía de la Ciencia I,0,15,0
Seminario de Filosofía de la Ciencia II,0,9,0
Seminario de Filosofía de la Ciencia III,0,5,0
Seminario de Investigación de Operaciones,0,8,0
Seminario sobre Enseñanza de las Matemáticas I,0,24,0
Seminario sobre Enseñanza de las Matemáticas II,0,22,0
Simulación y Control,0,2,0
Sistemas Operativos,0,16,0
Teoría de Redes,0,20,0
Teoría de las Decisiones,0,20,0
Teoría de las Gráficas II,0,16,0
Topología Diferencial I,0,12,0
Topología II,0,31,0
Topología III,0,14,0
Variable Compleja II,0,20,0
Variable Compleja III,0,2,0
Álgebra Geométrica,0,5,0
Álgebra Moderna II,0,43,0
Álgebra Moderna III,0,27,0
Variable Compleja I,1,102,0.009803922
Cálculo Diferencial e Integral II,2,183,0.010928962
Álgebra Lineal II,1,84,0.011904762
Cálculo Diferencial e Integral IV,2,143,0.013986014
Topología I,1,56,0.017857143
Cálculo Diferencial e Integral I,4,214,0.018691589
Geometría Moderna I,2,96,0.020833333
Termodinámica,2,83,0.024096386
Álgebra Moderna I,2,73,0.02739726
Lógica Matemática I,1,35,0.028571429
