ID,CourseName
1,Álgebra Moderna I
2,Álgebra Moderna II
3,Álgebra Moderna III
4,Álgebra Moderna IV
5,Álgebra Lineal I
6,Álgebra Lineal II
7,Álgebra Superior I
8,Álgebra Superior II
9,Análisis Matemático I
10,Análisis Matemático II
11,Análisis Matemático III
12,Análisis Matemático IV
14,Álgebra Geométrica
16,Anatomía Animal Comparada
17,Aplicaciones a las Matemáticas Financieras I
18,Aplicaciones a las Matemáticas Financieras II
25,Series de Tiempo
26,Análisis de Fourier I
27,Análisis de Fourier II
29,Alemán
35,Aplicación del Procesamiento Digital de Imágenes de la Biología
36,Análisis Numérico I
37,Análisis Numérico II
38,Anatomía Vegetal
40,Biofísica
43,Botánica III
44,Botánica IV
45,Biología de Campo I
46,Biología de Campo II
49,Biología Celular
50,Biología General I
51,Biología General II
52,Biología Molecular
53,Requerimiento Traducción de Idioma
56,Bacteriología General
57,Biogeografia
58,Biología y Técnicas de Animales de Laboratorio
59,Seminario de Ciencias Computacionales
60,Seminario de Computación Teórica
61,Seminario de Inteligencia Artificial
62,Seminario de Programación
63,Seminario de Aplicaciones a las Ciencias Sociales y Administrativas
65,Conducta Animal
66,Fotografía y Microfotografía
67,Hidrobiología
68,Malacología
69,Origen de la Vida
70,Microscopia Electrónica
76,Arquitectura de Máquinas
77,Análisis de Redes
78,Análisis de Regresión
79,Biología y Técnicas de Animales de Laboratorio
80,Cálculo Actuarial I
81,Cálculo Actuarial II
82,Cálculo Actuarial III
83,Cálculo de las Variaciones
85,Cálculo Tensorial
86,Circuitos Digitales con Laboratorio
87,Climatología
88,Conjuntos Convexos
90,Contabilidad de Seguros
91,Cálculo Diferencial e Integral I
92,Cálculo Diferencial e Integral II
93,Cálculo Diferencial e Integral III
94,Cálculo Diferencial e Integral IV
97,Cartografía
99,Cactología
100,Álgebra
101,Análisis Socioambiental y Gestión de Recursos Naturales
102,Computación
103,Crustáceos
104,Física Contemporánea
105,Dinámica de Comunidades
109,Introducción a la Parsitología Molecular
110,Ecología de Comunidades Litorales
111,Conducta Animal
114,Cálculo Actuarial de Modelos Dinámicos
115,Ecología de la Conducta
118,Computación I
119,Computación II
120,Demografía I
124,Didáctica de las Matemáticas
125,Demografía II
128,Ecología de Parásitos
129,Ingeniería de Tejidos
132,Modelación Matemática en Recursos Naturales
133,Recursos Pesqueros Litorales de México
134,Reproducción de Peces y Crustáceos Marinos
135,Inmunoparasitología
136,Introducción a la Acarología
137,Introducción a la Etnomicología
138,La Biología del Desarrollo en la Era Genómica
139,Mecanismos Bioquímicos y Moleculares del Daño Celular
140,Recursos Forestales de México y su Manejo Sustentable
141,Toxicología Molecular
143,Bases de Datos
144,Introducción a la Biofísica y Física Médica
145,Biofísica General
146,Física y Medicina
151,Métodos Físicos para el Estudio de Sistemas Biológicos
152,Métodos Físicos Para El Diagnóstico Y Tratamiento En Medicina
153,Temas Selectos de Biofísica y Física Médica I
154,Temas Selectos de Biofísica y Física Médica II
155,Introducción al Estado Sólido
156,Estado Sólido I
157,Estado Sólido II
158,Temas Selectos de Estado Sólido I
159,Temas Selectos de Estado Sólido II
162,Ecuaciones Diferenciales I
163,Ecuaciones Diferenciales II
164,Ecuaciones Diferenciales III
165,Ecuaciones Diferenciales Parciales I
168,Electrónica I
169,Embriología Animal
170,Estadística Descriptiva
177,Electrónica II
178,Temas Selectos de Estado Sólido III
180,Edafología
182,Arboricultura Urbana
183,Ecuaciones Diferenciales Parciales II
187,Biofísica
188,Cronobiología
189,Ecología de la Polinización
190,El Cultivo de Tejidos Vegetales como Herramienta Biotecnologíca
191,Etnozoología
192,Eventos Principales en la Evolución de la vida Fanerozoica
193,Etnofarmacología
194,Hidroacústica Aplicada al Estudio del Ecosistema Pelágico
195,Histología Animal
196,Ictiología
197,Introducción a la Ecología Marina
198,Introducción a la Oceanografía
199,Introducción al Estudio de los Recursos Pesqueros del Pacífico Mexicano
200,Fisiología Animal
201,Física Clásica I -Mecánica-
202,Física Clásica II -Ondas Fluidos y Calor-
203,Física Clásica III -Óptica-
204,Física Clásica IV -Electricidad-
205,Física General
206,Física Moderna I
207,Física Moderna II
208,Física Moderna III
209,Física Teórica I -Mecánica-
210,Física Teórica II -Termodinámica-
211,Física Teórica III -Electromagnetismo-
212,Física Teórica IV
213,Físico Química
216,Fisiología Vegetal
217,Funciones Especiales y Transformadas Integrales
221,Fotografía y Microfotografia
223,Francés
224,Introducción a Ciencias de la Computación I
225,Paleobiología de Dinosaurios
226,Parasitología General
227,Laboratorio de Mecánica
228,Mecánica Vectorial
229,Protozoología
230,Restauración Ecológica
231,Técnicas de Radioisotopos
232,Anfibios y Reptiles
233,Entomología
234,Introducción a la Citogenética Humana
235,Manejo de Vertebrados Terrestres
236,Mastozoología
238,Ficología
240,Genética
242,Geometría Algebraica I
243,Geometría Algebraica II
244,Geometría Analítica I
245,Geometría Analítica II
246,Geometría Diferencial I
247,Geometría Diferencial II
248,Geometría Diferencial III
249,Geometría Moderna I
250,Geometría Moderna II
251,Geometría Proyectiva
252,Geometría Riemanniana I
253,Geometría Riemanniana II
257,Reproducción Sexual y Asexual de Plantas
258,Física de Plasmas I
259,Geometría Computacional
260,Introducción a la Tecnología del Vacío y Aplicaciones
261,Técnicas de Crecimiento de Películas Delgadas y Recubrimientos en Vacío
262,Temas Selectos de Tecnologías de Vacío I
263,Temas Selectos de Tecnologías de Vacío II
264,Seminario de Temas Selectos de Computación Distribuida
265,Asignatura Optativa Cursada Fuera de Plan 1
266,Asignatura Optativa Cursada Fuera de Plan 2
267,Asignatura Optativa Cursada Fuera de Plan 3
268,Asignatura Optativa Cursada Fuera de Plan 4
269,Complejidad Computacional
270,Seminario de Computación Teórica II
271,Conjuntos y Lógica
272,Introducción a la Geometría Avanzada
273,Sistemas Dinámicos Discretos I
274,Sistemas Dinámicos Discretos II
275,Biología Matemática I
276,Biología Matemática II
277,Teoría de las Gráficas II
280,Histología Animal
282,Historia de la Física I
285,Seminario de Temas Selectos de Computación II
286,Historia de las Matemáticas I
287,Historia de las Matemáticas II
288,Principios de Computación Distribuida
291,México: Nación Multicultural
292,Introducción a la Física Atómica y Molecular
293,Temas Selectos de Física Atómica y Molecular I
294,Temas Selectos de Física Atómica y Molecular II
295,Introducción a los Sistemas Químicos y Biológicos
297,Historia de la Física II
300,Materia Condensada Suave
302,Fenómenos Colectivos
303,Laboratorio de Fenómenos Colectivos
304,Adquisición y Procesamiento de Señales
305,Circuitos Digitales con Laboratorio
306,Instrumentación Científica
307,Máquinas Digitales con Laboratorio
308,Robótica y Control
309,Señales y Circuitos Eléctricos
310,Temas Selectos de Electrónica e Instrumentación I
311,Temas Selectos de Electrónica e Instrumentación II
313,Aplicaciones de Taller
314,Fotografía Digital
315,Introducción a la Fotografía
316,Taller
317,Temas Selectos de Fotografía
318,Análisis y Manejo de Cuencas
319,Circulación Oceánica y Clima
322,Temas Selectos del Núcleo Celular I
323,Introducción a la Contabilidad
326,Temas Selectos del Núcleo Celular II
327,Introducción a la Geofísica
328,Introducción al Seguro de Daños
329,Introducción al Seguro de Vida
333,Instrumentos y Programas de Cálculo I
335,Temas Selectos del Núcleo Celular III
337,Introducción a la Oceanografía
339,Introducción a Ciencias de la Computación II
340,Probabilidad y Estadística
343,Práctica Profesional Supervisada
345,Ictiología
348,Introducción a la Física Atmósfera
351,Introducción a las Funciones Recursivas y Computabilidad
354,Inglés
355,Introducción al Estado Solido
356,Introducción Matemática a la Mecánica Celeste
358,Inmunología
362,Introducción a la Investigación de Operaciones
363,Italiano
367,Introducción Física de Materiales
369,Contabilidad de Seguros
370,Acuacultura
371,Antropología Ecológica
372,Áreas Naturales Protegidas
373,Bioeconomía
374,Bioquímica de la Nutrición
375,Biotecnología Acuícola
376,Cambio Climático Global
377,Comercio de la Biodiversidad
378,Ecoturismo
379,Ecotoxicología
380,Energías Renovables
381,Especies Marinas Ornamentales
383,Ingeniería Ambiental y Costera
384,Maricultura
385,Manejo Sostenible de los Sistemas de Producción Acuática
386,Medio Ambiente y Materiales en la Zona Costera
387,Métodos de Estudio de la Fauna Silvestre y su Conservación
388,Métodos Numéricos
389,Modelación de la Zona Costera
390,Nutrición Acuícola
391,Ordenamiento Territorial de la Zona Costera
392,Percepción Remota
393,Planeación y Desarrollo de Proyectos
394,Procesos Biogeoquímicos: El Ambiente Costero
396,Sistemas de Información Geográfica
398,Estadística I
399,Estadística II
401,Manejo de Anfibios y Reptiles en Cautiverio
402,Ecología General I
403,Ecología General II
406,Estructura de Datos
407,Economía Matemática I
408,Economía Matemática II
409,Econometría
411,Estadística Bayesiana
414,Análisis de Algoritmos I
415,Análisis Lógico
416,Matemáticas Discretas
417,Ecología Marina
419,Electromagnetismo I
420,Laboratorio de Electromagnetismo
421,Filosofía y Ética de la Ciencia
422,Graficas y Juegos
423,Astrofísica Relativista
424,Seminario de Aplicaciones de Cómputo II
425,Seminario de Inteligencia Artificial II
426,Seminario de Programación II
427,Seminario de Sistemas para Cómputo A
428,Seminario de Sistemas para Cómputo B
429,Temas Selectos de Ingeniería de Software A
430,Temas Selectos de Ingeniería de Software B
431,Hidrogeología
432,Hidrometeorología
435,Limnología
436,Oceanografía Costera
437,Paleo-Oceanografía
438,Planeación del Territorio
439,Temas Selectos de Ciencias Acuáticas I
440,Laboratorio I
441,Laboratorio II
442,Teoría de Redes
443,Temas Selectos de Ciencias Acuáticas II
444,Legislacion de Seguros
445,Lógica Matemática I
446,Lógica Matemática II
447,Lógica Matemática III
452,Bioquímica Ambiental
453,Lenguajes de Programación I
455,Seminario de Aplicaciones Actuariales
457,Ecofisiología Animal
458,Economía y Medio Ambiente
459,Educación Ambiental
460,Evaluación de Riesgo Ecológico
461,Genética de la Conservación
462,Gestión y Conservación de Espacios Naturales
463,Impacto Ambiental
464,Microbiología Ambiental
465,Recursos Naturales II
466,Restauración de Espacios Degradados
467,Restauración del Suelo
468,Técnicas Biológicas de Decontaminación
469,Temas Selectos de Ciencias Ambientales I
470,Temas Selectos de Ciencias Ambientales II
471,Aerosoles Atmosféricos
472,Cambio Climático 
473,Contaminación del Aire
474,Física de Nubes
475,Introducción al Análisis Meteorológico
476,Meteorología Sinóptica y de Mesoescala
477,Meteorología Tropical
479,Bioética
481,Máquinas Digitales con Laboratorio
482,Matemáticas Financieras I
483,Matemáticas Financieras II
491,Biofotónica
496,Biomateriales
502,Acústica
503,Introducción a la Física de Particulas Elementales
504,Temas Selectos de Altas Energias
505,Astronomía General
506,Astrofísica Estelar
507,Materia Interestelar
508,Astronomía Galactica
509,Astronomía Extragalactica
510,Sistema Solar
511,Temas Selectos de Astrofísica
512,Biofísica General
514,Biofísica Molecular
515,Física y Medicina
516,Temas Selectos de Biofísica
517,Física de Nubes
519,Percepción Remota
520,Temas Selectos de Física de la Atmósfera
522,Programación y Simulación de Problemas Físicos
524,Seminario de Cibernética con Laboratorio
525,Análisis de Proyectos Relevantes de Enseñanza de la Física
526,Procesos Cognoscitivos y Construcción del Conocimiento Científico
527,Seminario de Investigación Educativa
528,Temas Selectos de Electromagnetismo
529,Fundamentos Físicos de la Electrónica
530,Temas Selectos Instrumentación ELEC
531,Temas Selectos de la Energética
532,Estado Solido
533,Temas Selectos de Estado Solido
534,Filosofía de la Física I
535,Filosofía de la Física II
536,Física Atómica y Molecular
537,Introducción a la Física Nuclear
538,Temas Selectos de Física Nuclear
539,Introducción a la Física de Radiaciones
540,Dosimetría de la Radiación
541,Seguridad Radiológica
542,Temas Selectos Física de Radiaciones
543,Mecánica Cuántica Relativista
544,Simetrías en Física
545,Dinámica no Lineal
