GroupYSID,Quota,Signed
2001-1-0001-4115,22,24
2001-1-0001-4114,6,6
2001-1-0001-4116,12,12
2001-1-0001-4117,13,14
2001-1-0001-4118,11,14
2001-1-0002-4150,17,20
2001-1-0003-4158,6,6
2001-1-0003-4194,6,7
2001-1-0004-4195,2,2
2001-1-0005-4089,27,29
2001-1-0005-4090,78,91
2001-1-0005-4091,93,107
2001-1-0005-4092,65,67
2001-1-0005-4093,34,35
2001-1-0005-4094,35,38
2001-1-0005-4095,11,11
2001-1-0005-4096,28,29
2001-1-0005-4097,27,29
2001-1-0005-4098,30,31
2001-1-0005-4099,12,13
2001-1-0006-4104,11,14
2001-1-0006-4105,47,50
2001-1-0006-4106,3,4
2001-1-0007-4018,45,49
2001-1-0007-4019,47,49
2001-1-0007-4020,37,37
2001-1-0007-4021,48,50
2001-1-0007-4022,45,53
2001-1-0007-4023,21,23
2001-1-0007-4024,41,40
2001-1-0007-4025,50,52
2001-1-0007-4026,53,52
2001-1-0007-4027,48,48
2001-1-0007-4028,21,21
2001-1-0007-4029,30,29
2001-1-0007-4030,48,46
2001-1-0007-4031,46,45
2001-1-0007-4032,38,39
2001-1-0008-4065,27,32
2001-1-0008-4066,48,52
2001-1-0008-4067,54,57
2001-1-0008-4068,47,51
2001-1-0008-4069,32,36
2001-1-0008-4070,13,14
2001-1-0008-4071,18,18
2001-1-0008-4072,8,8
2001-1-0009-4121,55,56
2001-1-0009-4119,49,52
2001-1-0009-4120,23,25
2001-1-0009-4122,8,9
2001-1-0009-4123,21,23
2001-1-0009-4124,4,4
2001-1-0009-4125,18,18
2001-1-0009-4126,20,20
2001-1-0010-4132,8,9
2001-1-0010-4133,30,33
2001-1-0010-4134,12,13
2001-1-0011-4196,5,7
2001-1-0011-4159,8,11
2001-1-0012-4197,5,6
2001-1-0012-4182,3,4
2001-1-0012-4198,3,4
2001-1-0016-2093,3,3
2001-1-0017-1008,18,18
2001-1-0017-1009,8,8
2001-1-0017-1010,19,20
2001-1-0018-1066,18,18
2001-1-0018-1065,40,40
2001-1-0036-1056,18,18
2001-1-0036-1057,30,32
2001-1-0036-1058,42,44
2001-1-0036-1100,86,87
2001-1-0038-2038,4,4
2001-1-0040-2016,20,20
2001-1-0040-2017,3,3
2001-1-0040-2018,8,8
2001-1-0043-2004,6,6
2001-1-0044-2010,20,21
2001-1-0044-2011,10,10
2001-1-0044-2012,3,3
2001-1-0044-2013,5,5
2001-1-0045-2099,2,2
2001-1-0045-2100,9,9
2001-1-0045-2101,1,1
2001-1-0045-2103,2,2
2001-1-0045-2104,3,3
2001-1-0045-2105,2,2
2001-1-0045-2106,2,2
2001-1-0045-2107,2,2
2001-1-0045-2108,4,4
2001-1-0046-2109,1,1
2001-1-0046-2110,11,11
2001-1-0046-2111,3,3
2001-1-0046-2113,2,2
2001-1-0046-2114,6,6
2001-1-0046-2115,2,3
2001-1-0046-2116,4,4
2001-1-0046-2117,2,2
2001-1-0046-2118,2,2
2001-1-0049-2121,2,2
2001-1-0050-2000,1,1
2001-1-0051-2124,2,2
2001-1-0051-2032,9,9
2001-1-0051-2033,16,16
2001-1-0051-2098,5,5
2001-1-0052-2120,2,2
2001-1-0052-2034,5,6
2001-1-0056-2039,1,1
2001-1-0058-2040,3,3
2001-1-0065-5166,38,39
2001-1-0066-5167,17,18
2001-1-0069-5168,60,59
2001-1-0077-1109,13,16
2001-1-0078-1064,27,28
2001-1-0080-1018,24,23
2001-1-0080-1019,8,8
2001-1-0080-1020,48,48
2001-1-0080-1021,12,13
2001-1-0081-1030,17,17
2001-1-0081-1031,38,39
2001-1-0081-1032,88,88
2001-1-0081-1033,8,8
2001-1-0082-1044,31,31
2001-1-0082-1045,40,40
2001-1-0082-1099,13,13
2001-1-0082-1046,11,11
2001-1-0086-3098,2,2
2001-1-0087-2035,2,2
2001-1-0088-4229,16,17
2001-1-0091-4003,47,52
2001-1-0091-4004,62,60
2001-1-0091-4006,49,50
2001-1-0091-4009,41,46
2001-1-0091-4010,44,47
2001-1-0091-4011,20,19
2001-1-0091-4000,68,69
2001-1-0091-4001,54,57
2001-1-0091-4002,53,54
2001-1-0091-4007,57,57
2001-1-0091-4008,50,55
2001-1-0091-4012,37,37
2001-1-0091-4013,50,49
2001-1-0091-4014,35,34
2001-1-0091-4015,42,49
2001-1-0091-4017,42,42
2001-1-0091-4016,22,23
2001-1-0092-4058,65,67
2001-1-0092-4059,40,42
2001-1-0092-4060,42,46
2001-1-0092-4061,29,31
2001-1-0092-4062,19,23
2001-1-0092-4063,43,45
2001-1-0092-4064,9,12
2001-1-0093-4081,30,35
2001-1-0093-4082,51,56
2001-1-0093-4083,26,26
2001-1-0093-4085,44,48
2001-1-0093-4084,116,131
2001-1-0093-4080,88,89
2001-1-0093-4088,59,63
2001-1-0093-4086,24,26
2001-1-0093-4087,41,44
2001-1-0094-4100,105,111
2001-1-0094-4101,59,61
2001-1-0094-4102,37,41
2001-1-0094-4233,17,18
2001-1-0094-4103,37,38
2001-1-0111-2041,7,7
2001-1-0114-1067,37,37
2001-1-0114-1068,16,16
2001-1-0118-4137,13,14
2001-1-0118-4138,19,20
2001-1-0118-4139,18,20
2001-1-0120-1047,51,51
2001-1-0120-1048,20,20
2001-1-0120-1049,30,30
2001-1-0125-1069,6,6
2001-1-0162-4107,57,60
2001-1-0162-4108,24,25
2001-1-0162-4109,26,30
2001-1-0162-4110,27,30
2001-1-0162-4191,41,44
2001-1-0162-4111,26,27
2001-1-0162-4113,29,31
2001-1-0162-4112,11,11
2001-1-0163-4231,11,12
2001-1-0164-4199,7,7
2001-1-0165-4223,4,4
2001-1-0168-3074,26,27
2001-1-0168-3075,11,12
2001-1-0168-3076,26,27
2001-1-0168-3077,6,6
2001-1-0169-2006,11,11
2001-1-0169-2119,3,3
2001-1-0170-3068,50,51
2001-1-0170-3069,39,40
2001-1-0180-2042,6,6
2001-1-0200-2007,9,9
2001-1-0200-2008,1,1
2001-1-0201-3028,24,27
2001-1-0201-3029,9,10
2001-1-0201-3030,6,7
2001-1-0201-3031,8,10
2001-1-0201-3032,9,9
2001-1-0202-3034,24,27
2001-1-0202-3035,14,13
2001-1-0202-3033,19,20
2001-1-0202-3036,19,20
2001-1-0202-3037,16,18
2001-1-0202-3038,10,10
2001-1-0202-3039,11,11
2001-1-0203-3040,19,21
2001-1-0203-3042,15,16
2001-1-0203-3041,22,22
2001-1-0203-3043,10,10
2001-1-0204-3052,28,29
2001-1-0204-3053,12,13
2001-1-0204-3054,15,15
2001-1-0204-3055,6,6
2001-1-0204-3056,8,8
2001-1-0205-3002,22,23
2001-1-0205-3001,21,20
2001-1-0205-3003,22,24
2001-1-0205-3004,20,20
2001-1-0205-3007,20,20
2001-1-0205-3008,18,18
2001-1-0205-3005,27,26
2001-1-0205-3006,20,22
2001-1-0205-3009,18,18
2001-1-0205-3010,15,16
2001-1-0205-3011,24,27
2001-1-0205-3012,5,5
2001-1-0206-3044,13,13
2001-1-0206-3046,10,12
2001-1-0206-3045,39,41
2001-1-0206-3047,5,5
2001-1-0207-3057,7,7
2001-1-0207-3058,11,13
2001-1-0207-3059,15,16
