ID,Appointment,SimpAppointment
859,Técnico Académico Titular ,Tec
1807,Ayudante de Profesor de Asignatura ,Ayud
1844,Investigadora de Carrera Titular ,Inv
1987,Profesor de Asignatura ,PA
2138,Profesor de Carrera Titular ,PTC
2182,Profesora de Asignatura ,PA
2269,Investigador de Carrera Titular ,Inv
2274,Profesor de Carrera Titular ,PTC
2285,Profesora de Carrera Titular ,PTC
2292,Técnica Académica Titular ,Tec
2313,Profesor de Asignatura ,PA
2670,Investigador de Carrera Titular ,Inv
2691,Profesor de Asignatura ,PA
2706,Profesora de Asignatura ,PA
2872,Investigadora de Carrera Titular ,Inv
2913,Técnico Académico Titular ,Tec
3400,Profesor de Asignatura ,PA
3404,Profesor de Asignatura ,PA
3928,Técnica Académica Titular ,Tec
4094,Profesor de Asignatura ,PA
4102,Profesor de Asignatura ,PA
4164,Profesor de Asignatura ,PA
4227,Técnico Académico Titular ,Tec
4338,Investigador de Carrera Titular ,Inv
4477,Ayudante de Profesor de Asignatura ,Ayud
4489,Profesor de Asignatura ,PA
4494,Profesor de Asignatura ,PA
4533,Profesora de Carrera Titular ,PTC
4541,Profesor de Carrera Titular ,PTC
4637,Profesora de Asignatura ,PA
4728,Ayudante de Profesor de Asignatura ,Ayud
4818,Profesor de Asignatura ,PA
4944,Profesor de Asignatura ,PA
5131,Técnica Académica Titular ,Tec
5173,Investigadora de Carrera Titular ,Inv
5227,Profesora de Asignatura ,PA
5237,Investigador de Carrera Titular ,Inv
5238,Profesor de Asignatura ,PA
5376,Técnica Académica Titular ,Tec
5395,Profesora de Asignatura ,PA
5426,Profesor de Asignatura ,PA
5472,Ex Profesora de Carrera Asociado ,PTC
5478,Profesora de Carrera Titular ,PTC
5493,Profesora de Asignatura ,PA
5539,Profesora de Carrera Titular ,PTC
5658,Profesor de Asignatura ,PA
5696,Investigador de Carrera Titular ,Inv
5698,Profesora de Asignatura ,PA
5739,Profesor de Asignatura ,PA
5841,Investigadora de Carrera Titular ,Inv
5942,Técnica Académica Titular ,Tec
6050,Profesor de Carrera Titular ,PTC
6140,Técnica Académica Titular ,Tec
6150,Ayudante de Profesor de Asignatura ,Ayud
6399,Ayudante de Profesor de Asignatura ,Ayud
6491,Técnico Académico Titular ,Tec
6498,Profesora de Carrera Titular ,PTC
6740,Profesor de Asignatura ,PA
6960,Profesor de Carrera Titular ,PTC
7108,Técnico Académico Titular ,Tec
7110,Profesor de Asignatura ,PA
7260,Técnico Académico Titular ,Tec
7290,Técnico Académico Titular ,Tec
7294,Profesora de Asignatura ,PA
7333,Profesora de Asignatura ,PA
7382,Profesor de Carrera Asociado C M.T,
7462,Profesor de Asignatura ,PA
7485,Ayudante de Profesora de Asignatura ,Ayud
7523,Profesor de Asignatura ,PA
7672,Profesora de Carrera Titular ,PTC
7728,Técnica Académica Titular ,Tec
7784,Profesor de Asignatura ,PA
8195,Profesor de Asignatura ,PA
8219,Profesora de Asignatura ,PA
8342,Profesora de Asignatura ,PA
8371,Profesor de Carrera Asociado ,PTC
8395,Investigador de Carrera Titular ,Inv
8478,Investigador de Carrera Titular ,Inv
8537,Ayudante de Profesor de Asignatura ,Ayud
8664,Profesor de Asignatura ,PA
8838,Profesor de Asignatura ,PA
8843,Profesora de Asignatura ,PA
8862,Profesora de Carrera Asociado ,PTC
8886,Investigadora de Carrera Titular ,Inv
8938,Profesora de Asignatura ,PA
9023,Investigador de Carrera Titular ,Inv
9027,Investigador de Carrera Titular ,Inv
9166,Investigador de Carrera Titular ,Inv
9239,Profesor de Asignatura ,PA
9251,Profesora de Asignatura ,PA
9256,Investigador de Carrera Titular ,Inv
9282,Profesora de Asignatura ,PA
9297,Profesora de Carrera Titular ,PTC
9321,Profesor de Carrera Titular ,PTC
9571,Profesora de Asignatura ,PA
9573,Profesor de Asignatura ,PA
9604,Profesora de Carrera Asociado ,PTC
9661,Investigador de Carrera Titular ,Inv
9732,Profesora de Asignatura ,PA
9778,Profesor de Asignatura ,PA
9892,Profesora de Asignatura ,PA
9954,Técnica Académica Titular ,Tec
10061,Profesora de Asignatura ,PA
10089,Investigadora de Carrera Titular ,Inv
10213,Profesor de Asignatura ,PA
10639,Técnico Académico Titular ,Tec
10664,Profesor de Asignatura ,PA
10673,Profesor de Carrera Titular ,PTC
10714,Ayudante de Profesor de Asignatura ,Ayud
10825,Profesora de Asignatura ,PA
10928,Técnico Académico Titular ,Tec
11084,Profesora de Asignatura ,PA
11233,Profesor de Asignatura ,PA
11246,Profesor de Asignatura ,PA
11277,Ayudante de Profesora de Asignatura ,Ayud
11364,Técnico Académico Titular ,Tec
11476,Profesor de Asignatura ,PA
11507,Investigador de Carrera Titular ,Inv
11521,Investigador de Carrera Titular ,Inv
11526,Profesor de Asignatura ,PA
11535,Ayudante de Profesora de Asignatura ,Ayud
11626,Profesora de Asignatura ,PA
11631,Profesor de Asignatura ,PA
11666,Profesora de Asignatura ,PA
11768,Ayudante de Profesora de Asignatura ,Ayud
11876,Ayudante de Profesora de Asignatura ,Ayud
11915,Investigador de Carrera Titular ,Inv
12138,Profesor de Asignatura ,PA
12178,Investigadora de Carrera Titular ,Inv
12191,Profesora de Asignatura ,PA
12505,Ayudante de Profesora de Asignatura ,Ayud
12749,Profesor de Asignatura ,PA
12860,Técnica Académica Titular ,Tec
13521,Profesor de Asignatura ,PA
13555,Ayudante de Profesor de Asignatura ,Ayud
13722,Técnico Académico Titular ,Tec
13775,Profesor de Asignatura ,PA
13913,Profesor de Asignatura ,PA
13994,Profesor de Asignatura ,PA
14087,Profesora de Carrera Titular ,PTC
14135,Profesora de Asignatura ,PA
14275,Profesor de Asignatura ,PA
14435,Ayudante de Profesor de Asignatura ,Ayud
14570,Técnica Académica Titular ,Tec
14576,Investigador de Carrera Titular ,Inv
14852,Investigadora de Carrera Titular ,Inv
15066,Técnico Académico Titular ,Tec
15138,Ayudante de Profesor de Asignatura ,Ayud
15191,Profesor de Asignatura ,PA
15292,Ayudante de Profesor de Asignatura ,Ayud
15413,Técnica Académica Titular ,Tec
15442,Profesora de Asignatura ,PA
15542,Profesor de Asignatura ,PA
15546,Investigadora de Carrera Titular ,Inv
15591,Investigador de Carrera Titular ,Inv
15709,Técnica Académica Titular ,Tec
15712,Profesor de Asignatura ,PA
15759,Profesor de Asignatura ,PA
15803,Ayudante de Profesora de Asignatura ,Ayud
15807,Profesora de Asignatura ,PA
15953,Profesor de Asignatura ,PA
15975,Profesor de Asignatura ,PA
16102,Profesor de Asignatura ,PA
16270,Ayudante de Profesor de Asignatura ,Ayud
16283,Ayudante de Profesor de Asignatura ,Ayud
16308,Profesora de Asignatura ,PA
16419,Profesora de Carrera Titular ,PTC
16422,Profesor de Carrera Titular ,PTC
16519,Investigador de Carrera Titular ,Inv
16651,Profesora de Asignatura ,PA
16743,Profesora de Asignatura ,PA
16748,Ayudante de Profesor de Asignatura ,Ayud
16782,Profesor de Asignatura ,PA
16823,Profesora de Carrera Asociado ,PTC
16828,Profesora de Asignatura ,PA
16925,Profesor de Asignatura ,PA
16936,Técnico Académico Titular ,Tec
16947,Profesora de Asignatura ,PA
16967,Técnica Académica Titular ,Tec
17013,Profesor de Asignatura ,PA
17171,Técnica Académica Asociado ,Tec
17220,Profesor de Asignatura ,PA
17234,Ayudante de Profesor de Asignatura ,Ayud
17261,Ayudante de Profesor de Asignatura ,Ayud
17284,Ayudante de Profesor de Asignatura ,Ayud
17321,Ayudante de Profesora de Asignatura ,Ayud
17401,Investigador de Carrera Titular ,Inv
17406,Técnico Académico Titular ,Tec
17535,Investigador de Carrera Titular ,Inv
17536,Ayudante de Profesor de Asignatura ,Ayud
17537,Investigador de Carrera Titular ,Inv
17550,Ayudante de Profesor de Asignatura ,Ayud
17629,Profesor de Asignatura ,PA
17661,Profesor de Asignatura ,PA
17686,Ayudante de Profesor de Asignatura ,Ayud
17696,Profesor de Asignatura ,PA
17735,Profesor de Asignatura ,PA
17761,Ayudante de Profesor de Asignatura ,Ayud
17774,Ayudante de Profesor de Asignatura ,Ayud
17796,Ayudante de Profesora de Asignatura ,Ayud
17814,Investigador de Carrera Asociado ,Inv
17843,Profesor de Asignatura ,PA
17872,Ayudante de Profesor de Asignatura ,Ayud
17930,Profesora de Asignatura ,PA
18024,Profesor de Asignatura ,PA
18058,Profesora de Asignatura ,PA
18100,Técnica Académica Asociado ,Tec
18111,Profesor de Asignatura ,PA
18145,Ayudante de Profesora de Asignatura ,Ayud
18147,Ayudante de Profesor de Asignatura ,Ayud
18166,Técnico Académico Titular ,Tec
18267,Profesor de Carrera Titular ,PTC
18293,Profesor de Asignatura ,PA
18354,Profesora de Asignatura ,PA
18376,Profesor de Asignatura ,PA
18495,Técnica Académica Titular ,Tec
18647,Profesor de Asignatura ,PA
18656,Profesora de Carrera Titular ,PTC
18671,Profesor de Asignatura ,PA
18719,Técnico Académico Asociado ,Tec
18729,Ayudante de Profesor de Asignatura ,Ayud
18778,Profesora de Asignatura ,PA
18811,Profesor de Asignatura ,PA
18815,Profesor de Asignatura ,PA
18844,Profesora de Asignatura ,PA
18866,Investigadora de Carrera Titular ,Inv
18911,Profesora de Carrera Asociado ,PTC
18916,Profesor de Asignatura ,PA
18930,Profesor de Asignatura ,PA
18934,Ayudante de Profesor de Asignatura ,Ayud
19032,Profesor de Asignatura ,PA
19042,Profesor de Asignatura ,PA
19074,Ayudante de Profesor de Asignatura ,Ayud
19087,Técnico Académico Titular ,Tec
19117,Técnico Académico Asociado ,Tec
19161,Profesora de Asignatura ,PA
19186,Ayudante de Profesora de Asignatura ,Ayud
19283,Ayudante de Profesor de Asignatura ,Ayud
19301,Ayudante de Profesor de Asignatura ,Ayud
19337,Profesor de Asignatura ,PA
19344,Profesor de Asignatura ,PA
19388,Ayudante de Profesor de Asignatura ,Ayud
19472,Ayudante de Profesor de Asignatura ,Ayud
19482,Profesor de Carrera Titular ,PTC
19518,Profesora de Asignatura ,PA
19533,Profesor de Asignatura ,PA
19536,Profesora de Asignatura ,PA
19578,Ayudante de Profesor de Asignatura ,Ayud
19598,Profesora de Asignatura ,PA
19599,Técnica Académica Asociado ,Tec
19619,Técnico Académico Asociado ,Tec
19683,Profesor de Asignatura ,PA
19703,Ayudante de Profesora de Asignatura ,Ayud
19712,Profesor de Asignatura ,PA
19772,Ayudante de Profesora de Asignatura ,Ayud
19782,Ayudante de Profesora de Asignatura ,Ayud
19810,Profesora de Asignatura ,PA
19811,Profesora de Asignatura ,PA
19825,Profesora de Asignatura ,PA
19831,Profesora de Asignatura ,PA
19834,Profesora de Asignatura ,PA
19846,Profesor de Asignatura ,PA
19868,Ayudante de Profesora de Asignatura ,Ayud
19897,Profesora de Asignatura ,PA
19908,Ayudante de Profesora de Asignatura ,Ayud
19927,Ayudante de Profesor de Asignatura ,Ayud
19946,Profesora de Asignatura ,PA
19987,Profesora de Asignatura ,PA
20238,Profesora de Asignatura ,PA
20241,Profesora de Asignatura ,PA
20253,Ayudante de Profesor de Asignatura ,Ayud
20324,Profesor de Asignatura ,PA
20326,Ayudante de Profesora de Asignatura ,Ayud
20333,Profesora de Asignatura ,PA
20385,Ayudante de Profesor de Asignatura ,Ayud
20408,Ayudante de Profesora de Asignatura ,Ayud
20412,Profesor de Asignatura ,PA
20442,Ayudante de Profesor de Asignatura ,Ayud
20452,Profesor de Asignatura ,PA
20469,Técnico Académico Asociado ,Tec
20491,Profesora de Asignatura ,PA
20563,Ayudante de Profesor de Asignatura ,Ayud
20564,Ayudante de Profesora de Asignatura ,Ayud
20571,Técnica Académica Titular ,Tec
20579,Técnica Académica Titular ,Tec
20583,Ayudante de Profesora de Asignatura ,Ayud
20595,Investigador de Carrera Titular ,Inv
20615,Profesor de Asignatura ,PA
20638,Ayudante de Profesor de Asignatura ,Ayud
20685,Profesor de Carrera Titular ,PTC
20697,Investigador de Carrera Titular ,Inv
20700,Investigador de Carrera Titular ,Inv
20703,Profesor de Asignatura ,PA
20704,Ayudante de Profesor de Asignatura ,Ayud
20709,Profesora de Asignatura ,PA
20717,Profesora de Asignatura ,PA
20775,Profesora de Carrera Titular ,PTC
20782,Investigador de Carrera Titular ,Inv
20808,Profesor de Asignatura ,PA
20849,Técnica Académica Asociado ,Tec
20902,Profesora de Asignatura ,PA
20909,Profesora de Asignatura ,PA
20963,Profesor de Asignatura ,PA
21132,Ayudante de Profesor de Asignatura ,Ayud
21145,Ayudante de Profesor de Asignatura ,Ayud
21205,Ayudante de Profesora de Asignatura ,Ayud
21300,Ayudante de Profesora de Asignatura ,Ayud
21304,Profesor de Asignatura ,PA
21310,Investigador de Carrera Titular ,Inv
21326,Profesora de Asignatura ,PA
21347,Profesor de Asignatura ,PA
21395,Profesor de Asignatura ,PA
21401,Profesor de Asignatura ,PA
21411,Profesor de Asignatura ,PA
21413,Profesor de Asignatura ,PA
21419,Profesor de Asignatura ,PA
21435,Profesor de Asignatura ,PA
21476,Profesor de Asignatura ,PA
21553,Técnica Académica Asociado ,Tec
21604,Profesor de Asignatura ,PA
21620,Ayudante de Profesor de Asignatura ,Ayud
21624,Ayudante de Profesor de Asignatura ,Ayud
21631,Técnico Académico Asociado ,Tec
21645,Ayudante de Profesora de Asignatura ,Ayud
21666,Profesor de Asignatura ,PA
21686,Profesor de Asignatura ,PA
21705,Ayudante de Profesor de Asignatura ,Ayud
21765,Profesor de Carrera Titular ,PTC
21773,Profesora de Asignatura ,PA
21779,Profesor de Asignatura ,PA
21793,Profesor de Carrera Titular A M.T,PMT
21866,Ayudante de Profesora de Asignatura ,Ayud
21901,Profesora de Asignatura ,PA
21916,Ayudante de Profesor de Asignatura ,Ayud
22028,Ayudante de Profesor de Asignatura ,Ayud
22039,Profesora de Carrera Titular ,PTC
22084,Investigadora de Carrera Titular ,Inv
22106,Profesora de Asignatura ,PA
22107,Ayudante de Profesora de Asignatura ,Ayud
22126,Ayudante de Profesora de Asignatura ,Ayud
22176,Profesora de Asignatura ,PA
22183,Ayudante de Profesor de Asignatura ,Ayud
22220,Profesor de Asignatura ,PA
22240,Profesora de Asignatura ,PA
22308,Profesor de Asignatura ,PA
22326,Profesor de Asignatura ,PA
22328,Ayudante de Profesor de Asignatura ,Ayud
22350,Profesor de Asignatura ,PA
22371,Profesora de Asignatura ,PA
22379,Ayudante de Profesor de Asignatura ,Ayud
22444,Ayudante de Profesora de Asignatura ,Ayud
22454,Profesor de Asignatura ,PA
22475,Ayudante de Profesor de Asignatura ,Ayud
22548,Profesor de Asignatura ,PA
22550,Ayudante de Profesora de Asignatura ,Ayud
22579,Profesora de Asignatura ,PA
22581,Profesor de Asignatura ,PA
22593,Ayudante de Profesora de Asignatura ,Ayud
22685,Profesor de Asignatura ,PA
22765,Profesora de Asignatura ,PA
22767,Profesor de Asignatura ,PA
22771,Profesor de Asignatura ,PA
22773,Profesor de Asignatura ,PA
22789,Investigadora de Carrera Titular ,Inv
22839,Profesor de Asignatura ,PA
22867,Profesor de Carrera Titular ,PTC
22877,Profesora de Asignatura ,PA
22956,Técnico Académico Asociado ,Tec
23047,Investigadora de Carrera Titular ,Inv
23051,Ayudante de Profesora de Asignatura ,Ayud
23088,Profesor de Asignatura ,PA
23106,Profesora de Asignatura ,PA
23112,Profesor de Asignatura ,PA
23123,Técnico Académico Asociado ,Tec
23137,Técnico Académico Asociado ,Tec
23197,Ayudante de Profesora de Asignatura ,Ayud
23200,Ayudante de Profesor de Asignatura ,Ayud
23248,Ayudante de Profesor de Asignatura ,Ayud
23266,Profesor de Asignatura ,PA
23282,Profesora de Asignatura ,PA
23345,Profesor de Asignatura ,PA
23364,Profesor de Asignatura ,PA
23398,Ayudante de Profesora de Asignatura ,Ayud
23429,Ayudante de Profesora de Asignatura ,Ayud
23484,Profesora de Asignatura ,PA
23492,Profesor de Asignatura ,PA
23507,Ayudante de Profesor de Asignatura ,Ayud
23664,Profesora de Asignatura ,PA
23710,Profesor de Asignatura ,PA
23717,Profesor de Carrera Asociado ,PTC
23979,Profesor de Asignatura ,PA
23982,Ayudante de Profesor de Asignatura ,Ayud
23983,Investigadora de Carrera Asociado ,Inv
24003,Profesor de Carrera Titular ,PTC
24010,Ayudante de Profesora de Asignatura ,Ayud
24012,Ayudante de Profesor de Asignatura ,Ayud
24032,Profesor de Asignatura ,PA
24033,Profesor de Asignatura ,PA
24079,Ayudante de Profesor de Asignatura ,Ayud
24096,Profesor de Asignatura ,PA
24109,Ayudante de Profesora de Asignatura ,Ayud
24112,Ayudante de Profesor de Asignatura ,Ayud
24113,Ayudante de Profesor de Asignatura ,Ayud
24121,Profesor de Asignatura ,PA
24125,Ayudante de Profesor de Asignatura ,Ayud
24127,Ayudante de Profesora de Asignatura ,Ayud
24139,Profesor de Asignatura ,PA
24168,Profesor de Asignatura ,PA
24172,Profesora de Asignatura ,PA
24173,Profesora de Asignatura ,PA
24183,Profesora de Carrera Asociado ,PTC
24186,Profesora de Asignatura ,PA
24188,Profesora de Asignatura ,PA
24190,Profesor de Asignatura ,PA
24247,Profesor de Asignatura ,PA
24252,Ayudante de Profesor de Asignatura ,Ayud
24255,Profesora de Asignatura ,PA
24258,Ayudante de Profesor de Asignatura ,Ayud
24275,Profesor de Asignatura ,PA
24298,Ayudante de Profesor de Asignatura ,Ayud
24316,Profesor de Asignatura ,PA
24329,Profesor de Asignatura ,PA
24338,Profesora de Asignatura ,PA
24426,Ayudante de Profesora de Asignatura ,Ayud
24442,Profesor de Carrera Titular ,PTC
24470,Profesora de Asignatura ,PA
24481,Ayudante de Profesora de Asignatura ,Ayud
24571,Profesora de Asignatura ,PA
24606,Ayudante de Profesora de Asignatura ,Ayud
24613,Profesor de Asignatura ,PA
24614,Ayudante de Profesor de Asignatura ,Ayud
24631,Ayudante de Profesor de Asignatura ,Ayud
24642,Ayudante de Profesora de Asignatura ,Ayud
24644,Investigador de Carrera Titular ,Inv
24649,Ayudante de Profesor de Asignatura ,Ayud
24654,Investigador de Carrera Titular ,Inv
